标题,链接,服务,dsr,店铺名,价格,付款人数,发货地,好评率,动态评分,店铺类型,店铺等级
加厚坐垫椅子椅垫办公室座垫学生坐垫女教室凳子屁股屁垫四季透气,https://detail.tmall.com/item.htm?id=556378520906&ns=1&abbucket=18,"天猫,",蓝蓝蓝,财领万家旗舰店,9.90,43046人收货,北京,,"1.55%,1.40%,1.37%,",天猫店,
椅垫坐垫夏季椅子办公室圆形学生教室屁股垫子家用榻榻米凳子透气,https://detail.tmall.com/item.htm?id=558686159605&ns=1&abbucket=18,"天猫,",蓝蓝蓝,财领万家旗舰店,7.90,38124人收货,北京,,"1.55%,1.40%,1.37%,",天猫店,
四季通用布艺沙发垫防滑罩萬能全包套简约现代坐垫全盖靠背巾垫子,https://detail.tmall.com/item.htm?id=520577675660&ns=1&abbucket=18,"天猫,",红红红,梦雅莉旗舰店,14.43,36018人收货,浙江 金华,,"24.27%,24.23%,30.28%,",天猫店,
坐垫椅子椅垫电脑办公室软座垫棉加厚学生女教室凳子地坐屁股屁垫,https://item.taobao.com/item.htm?id=521186441857&ns=1&abbucket=18#detail,,蓝蓝蓝,chailq888,5.50,33433人收货,北京,好评率：98.80%,"2.22%,1.86%,1.92%,",淘宝c店,3金冠
夏季屁垫加厚凳子屁股坐垫椅垫子地板榻榻米办公室软座垫学生教室,https://item.taobao.com/item.htm?id=568839596753&ns=1&abbucket=18#detail,"15天退换,公益宝贝,",红红红,韩娜居家生活,9.90,29973人收货,江苏 扬州,好评率：99.78%,"4.99%,10.34%,5.76%,",淘宝c店,4冠
沙发垫四季通用布艺欧式防滑皮沙发套全包万能套罩巾全盖子,https://detail.tmall.com/item.htm?id=561272308353&ns=1&abbucket=18,"天猫,",红红红,朵奈儿旗舰店,20.00,24552人收货,浙江 金华,,"51.46%,44.89%,46.20%,",天猫店,
防滑沙发垫简约现代全包非萬能套沙发套坐垫子罩巾布艺四季通用型,https://detail.tmall.com/item.htm?id=525841162887&ns=1&abbucket=18,"天猫,",红红红,梓晨旗舰店,14.55,23677人收货,浙江 金华,,"34.09%,34.58%,40.07%,",天猫店,
夏季连体坐垫靠垫背一体办公室教室椅垫加厚学生座垫屁股凳子垫子,https://detail.tmall.com/item.htm?id=539499560295&ns=1&abbucket=18,"天猫,",蓝蓝蓝,棉小姐旗舰店,19.99,22701人收货,河北 保定,,"1.09%,1.66%,2.02%,",天猫店,
卡通坐垫学生教室椅子座垫凳子垫子宿舍屁垫记忆棉冬季长方形椅垫,https://detail.tmall.com/item.htm?id=574812518172&ns=1&abbucket=18,"天猫,公益宝贝,",黄黄黄,爱之舟旗舰店,18.81,21703人收货,上海,,"0.00%,0.00%,0.00%,",天猫店,
坐垫椅子椅垫办公室电脑地板学生座垫加厚棉麻餐椅垫餐桌夏季垫,https://detail.tmall.com/item.htm?id=558199715288&ns=1&abbucket=18,"天猫,公益宝贝,",黄黄蓝,郁姿家纺旗舰店,7.94,21586人收货,,,"0.00%,0.00%,0.54%,",天猫店,
沙发垫欧式毛绒防滑沙发坐垫简约现代沙发套全包萬能套沙发罩全盖,https://detail.tmall.com/item.htm?id=17183350633&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,罗兰妮旗舰店,15.00,19072人收货,浙江 金华,,"23.40%,23.95%,27.24%,",天猫店,
沙发垫四季定做通用防滑布艺坐垫简约现代欧式沙发套非萬能全包罩,https://detail.tmall.com/item.htm?id=13036763042&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,米兰床上用品旗舰店,8.10,13907人收货,,,"23.67%,23.80%,23.80%,",天猫店,
沙发垫四季布艺防滑欧式简约现代沙发套全包萬能套巾罩通用子,https://detail.tmall.com/item.htm?id=36589420756&ns=1&abbucket=18,"天猫,",蓝蓝蓝,艺皇家纺旗舰店,9.50,13707人收货,江苏 南通,,"1.97%,2.13%,1.28%,",天猫店,
