标题,链接,服务,dsr,店铺名,价格,付款人数,发货地,好评率,动态评分,店铺类型,店铺等级
南极人新西兰羊毛被子冬被加厚保暖棉被芯单人空调双人春秋褥,https://detail.tmall.com/item.htm?id=575854737952&ns=1&abbucket=10,"天猫,",黄黄红,南极人家纺旗舰店,148.00,2005人收货,上海,,"0.00%,0.00%,11.97%,",天猫店,
好伴侣全棉加厚澳洲羊毛单人双人保暖加厚印花被子芯秋冬季新款,https://detail.tmall.com/item.htm?id=562491034803&ns=1&abbucket=10,"天猫,",黄黄红,好伴侣家纺旗舰店,159.00,1670人收货,,,"0.00%,0.00%,10.63%,",天猫店,
羊毛被加厚保暖棉絮被褥被子冬被全棉被芯春秋冬被学生宿舍单双人,https://item.taobao.com/item.htm?id=576268547160&ns=1&abbucket=10#detail,"金牌卖家,",红红红,梦里的秘密2014,96.00,1631人收货,江苏 南通,好评率：94.07%,"83.54%,83.75%,87.85%,",淘宝c店,2冠
水星家纺抗菌羊毛被子春秋被加厚保暖冬被冬季被芯2018新品,https://detail.tmall.com/item.htm?id=573651100030&ns=1&abbucket=10,"天猫,",黄黄红,水星家纺品牌专卖店,299.00,882人收货,上海,,"0.00%,0.00%,8.03%,",天猫店,
富安娜蚕丝被春秋子母被二合一羊毛被芯单人双人全棉冬加厚保暖,https://detail.tmall.com/item.htm?id=40505128265&ns=1&abbucket=10,"天猫,",黄黄红,富安娜官方旗舰店,799.00,837人收货,,,"0.00%,0.00%,7.22%,",天猫店,
恒源祥羊毛被子母被芯12斤加厚保暖冬被9斤棉被双人学生春秋褥,https://detail.tmall.com/item.htm?id=45656049163&ns=1&abbucket=10,"天猫,公益宝贝,",黄红红,恒源祥和气致祥专卖店,209.00,798人收货,,,"0.00%,7.53%,11.01%,",天猫店,
水星家纺羊毛抗菌被雅芙欧洲羊毛春秋被加厚保暖被子秋冬芯预售,https://detail.tmall.com/item.htm?id=575859537394&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,269.00,768人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
澳洲纯羊毛被绵羊羊绒冬被加厚保暖学生被子被芯被褥春秋双人空调,https://detail.tmall.com/item.htm?id=575465011893&ns=1&abbucket=10,"天猫,",红红红,皮尔卡丹有侑专卖店,219.00,763人收货,上海,,"66.80%,73.55%,76.75%,",天猫店,
恒源祥家纺 羊毛被澳毛被芯春秋被双人被子被芯棉被保暖加厚冬,https://detail.tmall.com/item.htm?id=40389403770&ns=1&abbucket=10,"天猫,",黄红红,恒源祥家纺官方旗舰店,311.00,733人收货,上海,,"0.00%,12.49%,13.70%,",天猫店,
水星家纺 羊毛被秋冬被芯双人被子被芯全棉被芯 保暖加厚冬,https://detail.tmall.com/item.htm?id=13041106598&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,239.00,723人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
加厚保暖植物羊绒羽丝绒冬被芯单双人绒秋冬被棉被子1.5 2m,https://item.taobao.com/item.htm?id=575101015402&ns=1&abbucket=10#detail,"金牌卖家,",蓝蓝黄,站在跑道上,389.00,608人收货,江苏 南通,好评率：97.83%,"0.94%,0.71%,0.00%,",淘宝c店,5钻
澳洲纯羊毛被绵羊羊绒冬被加厚保暖全棉被子被芯被褥春秋双人空调,https://detail.tmall.com/item.htm?id=575851452452&ns=1&abbucket=10,"天猫,",红红红,皇朝家私旗舰店,229.00,532人收货,上海,,"37.18%,53.60%,54.43%,",天猫店,
羊羔绒被子羊毛被芯冬被双人加厚保暖8/10斤棉被冬季单人学生宿舍,https://item.taobao.com/item.htm?id=561543981716&ns=1&abbucket=10#detail,"金牌卖家,",红红红,hjf1700,78.00,516人收货,江苏 南通,好评率：99.69%,"68.50%,68.43%,61.11%,",淘宝c店,4钻
水星家纺 100%羊毛春秋被 加厚纯羊毛被子保暖被芯珍藏欧洲,https://detail.tmall.com/item.htm?id=575693448941&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,369.00,419人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
正品澳洲羊毛被100%纯羊毛加厚冬被芯单双人春秋被学生子礼品,https://item.taobao.com/item.htm?id=577037686234&ns=1&abbucket=10#detail,"15天退换,",红红红,love梦想家居馆,68.00,410人收货,上海,好评率：98.60%,"31.82%,45.18%,55.45%,",淘宝c店,5钻
羊毛被全棉澳洲驼绒被芯羊绒10斤冬被加厚保暖棉被子芯单人冬季,https://item.taobao.com/item.htm?id=558032796780&ns=1&abbucket=10#detail,"金牌卖家,15天退换,公益宝贝,",红红红,罗莱家纺8666,159.04,383人收货,江苏 南通,好评率：98.48%,"42.78%,39.60%,50.24%,",淘宝c店,1冠
水星家纺抗菌100%澳洲羊毛被纯羊毛冬被加厚保暖冬季进口芯,https://detail.tmall.com/item.htm?id=522556400609&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,449.00,368人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
恒源祥100%纯羊毛被冬被澳洲加厚8斤9斤保暖冬天棉春秋芯子,https://detail.tmall.com/item.htm?id=575402837004&ns=1&abbucket=10,"天猫,",黄红红,恒源祥凡士专卖店,229.00,354人收货,,,"0.00%,4.46%,8.54%,",天猫店,
lovo家纺澳洲羊毛被子被芯床上用品单双人床12/1.5/1.8床学生成人,https://detail.tmall.com/item.htm?id=575963302347&ns=1&abbucket=10,"天猫,",红红红,lovo官方旗舰店,299.00,341人收货,江苏 南通,,"1.86%,21.13%,22.59%,",天猫店,
全棉羊毛被冬被100%澳洲羊毛保暖加厚羊绒被芯单双人学生春秋子,https://item.taobao.com/item.htm?id=575126220322&ns=1&abbucket=10#detail,"15天退换,公益宝贝,",红红红,武向辉888,88.00,325人收货,上海,好评率：96.57%,"34.62%,21.37%,22.52%,",淘宝c店,2钻
埃迪蒙托 羊毛被芯被子冬被非全棉加厚保暖双人单人床8斤宿舍,https://detail.tmall.com/item.htm?id=522556725226&ns=1&abbucket=10,"天猫,",红红红,埃迪蒙托旗舰店,299.00,312人收货,广东 深圳,,"36.43%,38.56%,38.60%,",天猫店,
